Year,Trade (% of GDP)
1971,10.75717904
1972,11.34061965
1973,13.07921559
1974,16.44498632
1975,15.51637363
1976,16.04884564
1977,16.41789468
1978,16.97283423
1979,18.3761632
1980,20.10984469
1981,19.42591317
1982,17.53681228
1983,16.66559348
1984,17.52240742
1985,16.60390613
1986,16.89797715
1987,17.97358098
1988,19.07010071
1989,19.41512839
1990,19.81505058
1991,19.78644812
1992,19.9505945
1993,20.0446187
1994,21.05545916
1995,22.45338165
1996,22.68707199
1997,23.42832109
1998,22.82589095
1999,23.3135637
2000,25.10299536
2001,22.96718134
2002,22.28637411
2003,22.62731301
2004,24.44806226
2005,25.63855303
2006,26.9752781
2007,28.01201768
2008,29.86779579
2009,24.75953117
2010,28.21989523
2011,30.84248624
2012,30.68183537
2013,30.00236714
2014,29.99799978
2015,27.8122335
2016,26.58699936
2017,27.27916102
2018,27.61037927
2019,26.45194947
2020,23.38376188
2021,25.48140027
