Year,Average,Low,High,Causes
1971,$3.17 ,   N.A.,   N.A.,
1972,$3.22 ,   N.A.,   N.A.,
1973,$4.08 ,   N.A.,   N.A.,
1974,$12.52 ,$9.59 ,$13.06 ,OPEC oil embargo ended
1975,$13.95 ,$12.77 ,$15.04 ,Stagflation
1976,$13.48 ,$13.26 ,$13.71 ,Economy recovered
1977,$14.53 ,$14.11 ,$14.76 ,Fed raised and lowered rates
1978,$14.57 ,$14.40 ,$14.94 ,Fed raised and lowered rates
1979,$21.57 ,$15.50 ,$28.91 ,"Iran-Iraq War, fed rate 20%"
1980,$33.86 ,$30.75 ,$35.63 ,Iran oil embargo
1981,$37.10 ,$35.43 ,$39.00 ,Reagan cut taxes
1982,$33.57 ,$32.78 ,$35.54 ,Recession ends inflation
1983,$29.31 ,$27.95 ,$31.40 ,
1984,$28.88 ,$28.02 ,$29.26 ,
1985,$26.99 ,$26.21 ,$27.60 ,
1986,$13.93 ,$10.91 ,$24.93 ,
1987,$18.14 ,$16.45 ,$19.32 ,OPEC added to supply
1988,$14.60 ,$12.66 ,$15.93 ,
1989,$18.07 ,$16.04 ,$20.05 ,
1990,$21.73 ,$15.15 ,$32.88 ,Gulf War
1991,$18.73 ,$17.17 ,$22.30 ,SPR released oil
1992,$18.21 ,$16.00 ,$19.83 ,
1993,$16.13 ,$12.56 ,$18.35 ,
1994,$15.54 ,$12.90 ,$17.52 ,NAFTA allowed cheap oil from Mexico
1995,$17.14 ,$16.29 ,$18.70 ,
1996,$20.62 ,$17.48 ,$23.22 ,
1997,$18.49 ,$15.95 ,$23.02 ,
1998,$12.07 ,$9.39 ,$14.33 ,
1999,$17.27 ,$10.16 ,$24.35 ,Prices doubled
2000,$27.72 ,$24.29 ,$30.56 ,
2001,$21.99 ,$15.95 ,$24.97 ,Recession and 9/11
2002,$23.71 ,$17.04 ,$27.14 ,Afghanistan War
2003,$27.73 ,$24.48 ,$32.23 ,
2004,$35.89 ,$30.11 ,$45.36 ,
2005,$48.89 ,$37.56 ,$58.79 ,Hurricane Katrina
2006,$59.05 ,$52.70 ,$67.99 ,Bernanke becomes Fed chair
2007,$67.19 ,$49.57 ,$85.53 ,Banking crisis
2008,$92.57 ,$35.59 ,$127.77 ,Financial crisis
2009,$59.04 ,$36.84 ,$74.40 ,Great Recession
2010,$75.83 ,$71.15 ,$85.59 ,
2011,$102.58 ,$87.61 ,$113.02 ,
2012,$101.09 ,$92.18 ,$108.54 ,Iran threatened Straits of Hormuz
2013,$98.12 ,$90.36 ,$104.16 ,
2014,$89.63 ,$57.36 ,$100.26 ,The dollar rose 15%
2015,$46.34 ,$33.16 ,$58.89 ,U.S. shale oil increased
2016,$38.70 ,$26.66 ,$46.72 ,Dollar fell
2017,$48.98 ,$44.03 ,$57.44 ,OPEC cut oil supply to keep prices stable
2018,$61.34 ,$42.80 ,$67.79 ,
2019,$57.95 ,$49.71 ,$65.42 ,
2020,$37.22 ,$16.74 ,$53.87 ,Pandemic reduced demand
2021,$65.85 ,$49.52 ,$77.15 ,
2022,$94.68 ,$77.46 ,$106.00 ,Russian invasion of Ukraine created uncertainty about global supply
