Fiscal Year,Total Outlays (Billions),Discretionary Outlays,Total R&D,Percentage of Fiscal Budget for R&D,R&D as Percent of Discretionary Outlays,Discretionary Outlays,Defense R&D,Defense R&D as Percent of Defense Outlays,Discretionary Outlays,Nondefense R&D,Nondef. R&D as Percent of Nondef. Outlays,Nondefense R&D as Percent of Total Budget
1971,225.1,131.2,16.5,7.30%,12.60%,84.6,8.7,10.30%,46.6,7.8,16.80%,3.50%
1972,247.1,137.6,17.5,7.10%,12.70%,84.9,9.5,11.10%,52.7,8,15.20%,3.20%
1973,263.1,139.7,18.2,6.90%,13.10%,82.6,9.8,11.90%,57.1,8.5,14.80%,3.20%
1974,288.5,148,18.7,6.50%,12.60%,86.4,10.1,11.70%,61.6,8.6,14.00%,3.00%
1975,355.9,169.1,19.9,5.60%,11.70%,93.8,10.4,11.10%,75.3,9.4,12.50%,2.70%
1976,398.2,188.1,21.4,5.40%,11.40%,96.3,10.5,10.90%,91.8,10.9,11.90%,2.70%
1977,438.3,211.1,23,5.20%,10.90%,104.4,11.6,11.20%,106.7,11.3,10.60%,2.60%
1978,491.3,234.2,26.3,5.30%,11.20%,112,12.9,11.50%,122.2,13.3,10.90%,2.70%
1979,539.8,257,28.2,5.20%,11.00%,125.1,13,10.40%,131.9,15.2,11.50%,2.80%
1980,632.9,295.9,32.4,5.10%,10.90%,144.2,15.7,10.90%,151.8,16.7,11.00%,2.60%
1981,726.4,329.8,36.6,5.00%,11.10%,169.2,18.1,10.70%,160.5,18.5,11.50%,2.50%
1982,798.7,349,37.1,4.60%,10.60%,199.1,21.2,10.70%,149.9,15.9,10.60%,2.00%
1983,865.8,378.4,38.4,4.40%,10.20%,224.8,23.9,10.60%,153.6,14.6,9.50%,1.70%
1984,912.3,406.3,43.9,4.80%,10.80%,244.2,27.6,11.30%,162.2,16.3,10.10%,1.80%
1985,1013.5,445.3,50.6,5.00%,11.40%,271.1,32.5,12.00%,174.3,18.1,10.40%,1.80%
1986,1060.7,469.6,55.8,5.30%,11.90%,293.2,38.2,13.00%,176.4,17.7,10.00%,1.70%
1987,1075.3,475.6,57,5.30%,12.00%,302.6,39.7,13.10%,173.1,17.3,10.00%,1.60%
1988,1140,497.4,60.1,5.30%,12.10%,311.6,40.7,13.10%,185.8,19.4,10.40%,1.70%
1989,1224.9,523.5,65.1,5.30%,12.40%,325.6,43.2,13.30%,197.9,21.8,11.00%,1.80%
1990,1342,536,68.3,5.10%,12.70%,321.4,44,13.70%,214.6,24.3,11.30%,1.80%
1991,1418.2,571.2,66.6,4.70%,11.70%,342.4,40.6,11.90%,228.8,26,11.40%,1.80%
1992,1479.6,571.7,69.3,4.70%,12.10%,324.1,40.9,12.60%,247.6,28.4,11.50%,1.90%
1993,1509.5,578,73.2,4.90%,12.70%,313.2,43.3,13.80%,264.9,30,11.30%,2.00%
1994,1565.6,579.9,71.2,4.50%,12.30%,302.3,40.8,13.50%,277.5,30.4,11.00%,1.90%
1995,1623.3,583.5,73.3,4.50%,12.60%,293,40.4,13.80%,290.5,32.9,11.30%,2.00%
1996,1671.3,570.6,73.3,4.40%,12.80%,284.9,42.2,14.80%,285.7,31.1,10.90%,1.90%
1997,1714.8,586,76.1,4.40%,13.00%,291,43,14.80%,295,33.1,11.20%,1.90%
1998,1769.9,591.1,78,4.40%,13.20%,289.4,43,14.90%,301.7,35,11.60%,2.00%
1999,1822.7,612.7,79.4,4.40%,13.00%,295.1,43.1,14.60%,317.7,36.3,11.40%,2.00%
2000,1916.1,658.4,79.2,4.10%,12.00%,316,44,13.90%,342.4,35.2,10.30%,1.80%
2001,1995.1,695.2,85.8,4.30%,12.30%,327.8,47.3,14.40%,367.4,38.5,10.50%,1.90%
2002,2153.7,786.1,94.2,4.40%,12.00%,373.8,51.7,13.80%,412.3,42.5,10.30%,2.00%
2003,2313.3,882.8,108.6,4.70%,12.30%,433.7,61.4,14.20%,449.2,47.2,10.50%,2.00%
2004,2455.6,958.7,121.4,4.90%,12.70%,486.4,70,14.40%,472.3,51.4,10.90%,2.10%
2005,2647.6,1037.3,128.4,4.80%,12.40%,528.7,75.7,14.30%,508.6,52.7,10.40%,2.00%
2006,2843.6,1088.9,131.5,4.60%,12.10%,556.9,78.2,14.00%,532,53.3,10.00%,1.90%
2007,2922.5,1115.6,138.9,4.80%,12.50%,586.8,82.6,14.10%,528.8,56.3,10.70%,1.90%
2008,3194.3,1215.4,144.5,4.50%,11.90%,655.9,85.3,13.00%,559.5,59.3,10.60%,1.90%
2009,3767.5,1325.4,149.8,4.00%,11.30%,703.3,88.8,12.60%,622,61,9.80%,1.60%
2010,3702.6,1442.9,150.9,4.10%,10.50%,737.8,86.8,11.80%,705.1,64.1,9.10%,1.70%
2011,3859,1442.8,153.8,4.00%,10.70%,749.1,85.3,11.40%,693.7,68.5,9.90%,1.80%
2012,3777.1,1366.3,148.6,3.90%,10.90%,718.1,80.5,11.20%,648.2,68.2,10.50%,1.80%
2013,3700.3,1287.8,141.9,3.80%,11.00%,670.2,76.2,11.40%,617.6,65.7,10.60%,1.80%
2014,3755.3,1262.5,140.6,3.70%,11.10%,638.8,75.6,11.80%,623.8,65,10.40%,1.70%
2015,3954,1255.5,141.4,3.60%,11.30%,624.8,75.8,12.10%,630.6,65.7,10.40%,1.70%
2016,4126.2,1269.4,144.6,3.50%,11.40%,626.3,77.8,12.40%,643,66.8,10.40%,1.60%
2017,4264.4,1285.5,123.9,2.90%,9.60%,632.1,55,8.70%,653.4,68.9,10.50%,1.60%
2018,4400.8,1351.2,122.5,2.80%,9.10%,676,52.6,7.90%,684.3,69.8,10.20%,1.60%
2019,4762.8,1432.8,132.4,2.80%,9.20%,734.7,59.9,8.30%,708.4,72.5,10.20%,1.50%
2020,6553.6,1627,165.6,2.50%,10.20%,724.6,79.6,11.00%,913,86,9.40%,1.30%
2021,6822.4,1636,163.7,2.40%,10.00%,753.9,79.9,10.60%,895,83.9,9.40%,1.20%
2022,5851.6,1694,177,3.00%,10.40%,779.7,87,11.20%,928,89.9,9.70%,1.50%
2023,5792,1639,193.5,2.90%,9.70%,808.6,92.1,9.20%,873,101.4,10.20%,1.50%
